img_name,label,clean_pred_label,clean_pred_prob,adv_normal_pred_label,adv_normal_pred_prob,adv_special_pred_label,adv_special_pred_prob,gen_night_clean_pred_label,gen_night_clean_pred_prob,gen_night_normal_pred_label,gen_night_normal_pred_prob,gen_night_special_pred_label,gen_night_special_pred_prob,gen_snow_clean_pred_label,gen_snow_clean_pred_prob,gen_snow_normal_pred_label,gen_snow_normal_pred_prob,gen_snow_special_pred_label,gen_snow_special_pred_prob,total_generated_imgs,total_adv_gen_attack_succeeded_normal,avg_prob_gen_attack_succeeded_normal,total_gen_failed_normal,total_adv_gen_attack_succeeded_special,avg_prob_gen_attack_succeeded_special,total_gen_failed_special
road_1,12,12,0.8679486513137817,4,0.493503212928772,4,0.3440243601799011,12,0.8888591527938843,4,0.5167104601860046,4,0.2843542993068695,12,0.8475548624992371,4,0.34273090958595276,4,0.2647274136543274,2,2,0.4297206848859787,0,2,0.27454085648059845,0
road_2,12,12,0.8853724002838135,7,0.6239426732063293,12,0.5608744025230408,12,0.8939621448516846,7,0.5463324189186096,12,0.48616501688957214,12,0.9078646898269653,7,0.40120646357536316,12,0.6566510200500488,2,2,0.4737694412469864,0,0,0.0,2
road_3,12,12,0.6864805817604065,3,0.2755386531352997,7,0.3530189096927643,12,0.8201538324356079,7,0.36328116059303284,12,0.4170307219028473,12,0.7862411141395569,7,0.4261084496974945,12,0.31764861941337585,2,0,0.0,0,0,0.0,2
road_4,12,12,0.8826318383216858,12,0.8920956254005432,12,0.899321436882019,12,0.8824690580368042,12,0.8897929191589355,12,0.9063869118690491,12,0.8845274448394775,12,0.890494704246521,12,0.9006696939468384,2,0,0.0,2,0,0.0,2
road_5,12,12,0.8961789608001709,12,0.9202539324760437,12,0.8815438151359558,12,0.888071596622467,12,0.9158542156219482,12,0.8865757584571838,12,0.882469892501831,12,0.9164928793907166,12,0.876264750957489,2,0,0.0,2,0,0.0,2
road_6,12,12,0.8606986999511719,3,0.29279589653015137,4,0.47685378789901733,12,0.839275062084198,3,0.2710518538951874,4,0.6302247643470764,12,0.8786756992340088,3,0.39918744564056396,4,0.36695942282676697,2,2,0.33511964976787567,0,2,0.4985920935869217,0
road_8,12,12,0.9186112284660339,12,0.9225584268569946,12,0.9232850670814514,12,0.8706188797950745,12,0.9326515197753906,12,0.8614171147346497,12,0.8918761610984802,12,0.9332469701766968,12,0.8818561434745789,2,0,0.0,2,0,0.0,2
road_9,12,12,0.6757597327232361,10,0.2985215187072754,4,0.17925216257572174,12,0.7088567018508911,12,0.31501534581184387,12,0.2584787905216217,12,0.7772380113601685,12,0.22602787613868713,12,0.2008732408285141,2,0,0.0,2,0,0.0,2
road_10,12,12,0.8830708861351013,12,0.3175548017024994,12,0.8996105194091797,12,0.8474631309509277,12,0.4363030791282654,12,0.8932443857192993,12,0.866895318031311,12,0.42562317848205566,12,0.9054740071296692,2,0,0.0,2,0,0.0,2
road_11,12,12,0.9168446660041809,12,0.2149593085050583,6,0.2055782824754715,12,0.8858920335769653,12,0.37106624245643616,12,0.18989312648773193,12,0.8982723355293274,12,0.4602133631706238,14,0.32523560523986816,2,0,0.0,2,0,0.0,1
road_12,12,12,0.9012296795845032,12,0.9227288365364075,12,0.9287455081939697,12,0.8710594177246094,12,0.9146490693092346,12,0.9282881021499634,12,0.8899630904197693,12,0.9167933464050293,12,0.9207901358604431,2,0,0.0,2,0,0.0,2
road_13,12,12,0.8252847194671631,7,0.42391806840896606,7,0.2018660604953766,12,0.8134562373161316,12,0.42964908480644226,12,0.3170167803764343,12,0.7819564938545227,12,0.4546675980091095,12,0.3623615801334381,2,0,0.0,2,0,0.0,2
road_14,12,12,0.8957297801971436,4,0.6985671520233154,3,0.726427435874939,12,0.8691186308860779,4,0.4829963445663452,3,0.6108851432800293,12,0.8692895770072937,4,0.6098845601081848,3,0.5227693915367126,2,2,0.546440452337265,0,2,0.566827267408371,0
road_15,12,12,0.8751537799835205,3,0.8254151344299316,8,0.21405670046806335,12,0.8889201879501343,3,0.7501090168952942,8,0.19777248799800873,12,0.8929557204246521,3,0.7534326910972595,8,0.34075722098350525,2,2,0.7517708539962769,0,2,0.269264854490757,0
road_16,12,12,0.8814145922660828,2,0.4921940565109253,12,0.3144358992576599,12,0.8906019330024719,2,0.34255290031433105,12,0.34573593735694885,12,0.8918907642364502,2,0.38040462136268616,12,0.30601316690444946,2,2,0.3614787608385086,0,0,0.0,2
road_17,12,12,0.9073856472969055,4,0.6657741069793701,12,0.9067321419715881,12,0.90263831615448,12,0.5617602467536926,12,0.9026956558227539,12,0.893013596534729,4,0.4986037313938141,12,0.8925182819366455,2,1,0.4986037313938141,1,0,0.0,2
